ResponseId,Age,EdLevel,Country
189,25-34 years old,Bachelor’s Degree,Canada
190,35-44 years old,Secondary School,Czech Republic
191,55-64 years old,Uncompleted Studies,Canada
192,35-44 years old,Uncompleted Studies,Bulgaria
193,18-24 years old,Bachelor’s Degree,Bulgaria
194,35-44 years old,Bachelor’s Degree,Portugal
195,18-24 years old,Bachelor’s Degree,United Kingdom
196,25-34 years old,Master’s Degree,India
197,35-44 years old,Professional Degree,Germany
198,25-34 years old,Uncompleted Studies,Portugal
199,35-44 years old,Master’s Degree,Switzerland
200,45-54 years old,Master’s Degree,India
201,18-24 years old,Bachelor’s Degree,South Africa
202,18-24 years old,Bachelor’s Degree,USA
203,18-24 years old,Uncompleted Studies,Germany
204,18-24 years old,Secondary School,USA
205,25-34 years old,Uncompleted Studies,USA
206,25-34 years old,Master’s Degree,Germany
207,35-44 years old,Bachelor’s Degree,Lithuania
208,18-24 years old,Bachelor’s Degree,France
209,25-34 years old,Bachelor’s Degree,Netherlands
210,25-34 years old,Bachelor’s Degree,USA
211,25-34 years old,Master’s Degree,France
212,55-64 years old,Bachelor’s Degree,United Kingdom
213,25-34 years old,Bachelor’s Degree,Viet Nam
214,45-54 years old,Master’s Degree,Ireland
215,35-44 years old,Professional Degree,Dominican Republic
216,25-34 years old,Bachelor’s Degree,USA
217,Under 18 years old,Secondary School,Indonesia
218,25-34 years old,Secondary School,Brazil
219,35-44 years old,Master’s Degree,France
220,18-24 years old,Bachelor’s Degree,India
221,35-44 years old,Bachelor’s Degree,Germany
222,35-44 years old,Bachelor’s Degree,Viet Nam
223,35-44 years old,Master’s Degree,France
224,25-34 years old,Bachelor’s Degree,United Kingdom
225,35-44 years old,Bachelor’s Degree,United Kingdom
226,25-34 years old,Secondary School,Germany
227,35-44 years old,Bachelor’s Degree,Germany
228,25-34 years old,Bachelor’s Degree,USA
229,35-44 years old,Professional Degree,Ireland
230,45-54 years old,Professional Degree,USA
231,18-24 years old,Uncompleted Studies,Serbia
232,35-44 years old,Professional Degree,India
233,18-24 years old,Bachelor’s Degree,Ukraine
234,25-34 years old,Uncompleted Studies,Bulgaria
235,35-44 years old,Uncompleted Studies,India
236,45-54 years old,Uncompleted Studies,Croatia
237,35-44 years old,Master’s Degree,Romania
238,35-44 years old,Master’s Degree,Poland
239,25-34 years old,Master’s Degree,Kosovo
240,25-34 years old,Primary School,Australia
241,35-44 years old,Bachelor’s Degree,Romania
242,45-54 years old,Uncompleted Studies,USA
243,18-24 years old,Master’s Degree,Morocco
244,35-44 years old,Master’s Degree,India
245,25-34 years old,Master’s Degree,France
246,45-54 years old,Bachelor’s Degree,Germany
247,18-24 years old,Secondary School,Netherlands
248,Under 18 years old,Secondary School,Greece
249,35-44 years old,Professional Degree,USA
250,25-34 years old,Master’s Degree,Taiwan
251,35-44 years old,Bachelor’s Degree,USA
252,35-44 years old,Master’s Degree,USA
253,45-54 years old,Uncompleted Studies,Sweden
254,35-44 years old,Bachelor’s Degree,Switzerland
255,25-34 years old,Master’s Degree,France
256,35-44 years old,Uncompleted Studies,Brazil
257,18-24 years old,Bachelor’s Degree,France
258,25-34 years old,Bachelor’s Degree,Georgia
259,45-54 years old,Master’s Degree,Brazil
260,55-64 years old,Bachelor’s Degree,Netherlands
261,25-34 years old,Master’s Degree,France
262,35-44 years old,Bachelor’s Degree,Sweden
263,35-44 years old,Master’s Degree,Austria
264,45-54 years old,Master’s Degree,USA
265,45-54 years old,Master’s Degree,USA
266,25-34 years old,Master’s Degree,USA
267,25-34 years old,Secondary School,Austria
268,Prefer not to say,Bachelor’s Degree,Turkey
269,35-44 years old,Bachelor’s Degree,USA
270,25-34 years old,Master’s Degree,United Kingdom
271,25-34 years old,Bachelor’s Degree,Ukraine
272,25-34 years old,Master’s Degree,Germany
273,25-34 years old,Bachelor’s Degree,Lithuania
274,45-54 years old,Bachelor’s Degree,USA
275,18-24 years old,Bachelor’s Degree,Russian Federation
276,25-34 years old,Bachelor’s Degree,United Kingdom
277,25-34 years old,Master’s Degree,San Marino
278,18-24 years old,Secondary School,Indonesia
279,45-54 years old,Bachelor’s Degree,USA
280,35-44 years old,Bachelor’s Degree,USA
281,25-34 years old,Bachelor’s Degree,Switzerland
282,25-34 years old,Bachelor’s Degree,Poland
283,18-24 years old,Uncompleted Studies,USA
284,18-24 years old,Bachelor’s Degree,Tunisia
285,35-44 years old,Bachelor’s Degree,United Kingdom
286,18-24 years old,Bachelor’s Degree,India
287,45-54 years old,Master’s Degree,Germany
288,25-34 years old,Bachelor’s Degree,Canada
289,45-54 years old,Master’s Degree,Poland
290,Under 18 years old,Primary School,USA
291,35-44 years old,Bachelor’s Degree,Romania
292,25-34 years old,Bachelor’s Degree,Greece
293,55-64 years old,Bachelor’s Degree,USA
294,35-44 years old,Bachelor’s Degree,Germany
295,45-54 years old,Professional Degree,Tunisia
296,18-24 years old,Bachelor’s Degree,India
297,35-44 years old,Associate Degree,Turkey
298,45-54 years old,Professional Degree,Russian Federation
299,25-34 years old,Bachelor’s Degree,Bangladesh
300,45-54 years old,Uncompleted Studies,United Kingdom
301,35-44 years old,Uncompleted Studies,Japan
302,25-34 years old,Primary School,Canada
303,18-24 years old,Bachelor’s Degree,Nigeria
304,45-54 years old,Master’s Degree,France
305,25-34 years old,Bachelor’s Degree,Switzerland
306,25-34 years old,Uncompleted Studies,Poland
307,18-24 years old,Bachelor’s Degree,USA
308,Under 18 years old,Other,India
309,55-64 years old,Master’s Degree,USA
310,35-44 years old,Professional Degree,USA
311,25-34 years old,Uncompleted Studies,Ukraine
312,18-24 years old,Master’s Degree,Ukraine
313,35-44 years old,Professional Degree,USA
314,35-44 years old,Bachelor’s Degree,Canada
315,35-44 years old,Bachelor’s Degree,Germany
316,25-34 years old,Bachelor’s Degree,USA
317,35-44 years old,Bachelor’s Degree,Brazil
318,25-34 years old,Bachelor’s Degree,Bangladesh
319,35-44 years old,Bachelor’s Degree,Liechtenstein
320,25-34 years old,Professional Degree,Portugal
321,18-24 years old,Bachelor’s Degree,Denmark
322,35-44 years old,Bachelor’s Degree,Canada
323,25-34 years old,Bachelor’s Degree,India
324,25-34 years old,Uncompleted Studies,Ukraine
325,18-24 years old,Secondary School,France
326,35-44 years old,Uncompleted Studies,Germany
327,35-44 years old,Master’s Degree,Switzerland
328,45-54 years old,Master’s Degree,USA
329,Under 18 years old,Primary School,Republic of North Macedonia
330,35-44 years old,Master’s Degree,Spain
331,18-24 years old,Bachelor’s Degree,USA
332,18-24 years old,Uncompleted Studies,Russian Federation
333,35-44 years old,Master’s Degree,USA
334,25-34 years old,Bachelor’s Degree,Switzerland
335,18-24 years old,Uncompleted Studies,Pakistan
336,45-54 years old,Bachelor’s Degree,Italy
337,18-24 years old,Uncompleted Studies,Italy
338,65 years or older,Professional Degree,United Kingdom
339,35-44 years old,Master’s Degree,USA
340,25-34 years old,Master’s Degree,Sweden
341,25-34 years old,Bachelor’s Degree,Pakistan
342,45-54 years old,Bachelor’s Degree,USA
343,25-34 years old,Bachelor’s Degree,Portugal
344,45-54 years old,Associate Degree,USA
345,45-54 years old,Uncompleted Studies,USA
346,35-44 years old,Master’s Degree,Germany
347,35-44 years old,Bachelor’s Degree,Viet Nam
348,45-54 years old,Bachelor’s Degree,United Kingdom
349,18-24 years old,Secondary School,Germany
350,45-54 years old,Master’s Degree,United Kingdom
351,35-44 years old,Associate Degree,USA
352,25-34 years old,Bachelor’s Degree,India
353,55-64 years old,Master’s Degree,France
354,35-44 years old,Bachelor’s Degree,France
355,35-44 years old,Bachelor’s Degree,Belgium
356,Under 18 years old,Secondary School,USA
357,35-44 years old,Bachelor’s Degree,USA
358,45-54 years old,Uncompleted Studies,Romania
359,45-54 years old,Master’s Degree,United Kingdom
360,45-54 years old,Bachelor’s Degree,USA
361,25-34 years old,Bachelor’s Degree,Russian Federation
362,18-24 years old,Secondary School,USA
363,35-44 years old,Secondary School,USA
364,25-34 years old,Uncompleted Studies,Brazil
365,45-54 years old,Bachelor’s Degree,Australia
366,55-64 years old,Professional Degree,Germany
367,35-44 years old,Bachelor’s Degree,United Kingdom
368,65 years or older,Uncompleted Studies,USA
369,35-44 years old,Bachelor’s Degree,Spain
370,25-34 years old,Master’s Degree,Ukraine
371,35-44 years old,Bachelor’s Degree,Ecuador
372,35-44 years old,Bachelor’s Degree,Turkey
373,25-34 years old,Bachelor’s Degree,United Kingdom
374,25-34 years old,Bachelor’s Degree,Mexico
375,25-34 years old,Professional Degree,Austria
376,18-24 years old,Secondary School,Germany
377,35-44 years old,Professional Degree,France
378,35-44 years old,Bachelor’s Degree,Brazil
379,45-54 years old,Master’s Degree,Greece
380,35-44 years old,Master’s Degree,Turkey
381,35-44 years old,Associate Degree,USA
382,35-44 years old,Master’s Degree,France
383,45-54 years old,Master’s Degree,India
384,45-54 years old,Uncompleted Studies,Italy
385,35-44 years old,Uncompleted Studies,USA
386,35-44 years old,Master’s Degree,France
387,35-44 years old,Master’s Degree,France
388,55-64 years old,Professional Degree,France
389,35-44 years old,Master’s Degree,Spain
390,25-34 years old,Uncompleted Studies,USA
391,35-44 years old,Master’s Degree,Germany
392,25-34 years old,Bachelor’s Degree,India
393,35-44 years old,Professional Degree,United Kingdom
394,35-44 years old,Bachelor’s Degree,Bangladesh
395,25-34 years old,Bachelor’s Degree,India
396,45-54 years old,Master’s Degree,United Kingdom
397,35-44 years old,Master’s Degree,Algeria
398,55-64 years old,Master’s Degree,USA
399,45-54 years old,Uncompleted Studies,USA
400,18-24 years old,Bachelor’s Degree,Ukraine
401,18-24 years old,Other,Malaysia
402,25-34 years old,Uncompleted Studies,Italy
403,45-54 years old,Bachelor’s Degree,Serbia
404,35-44 years old,Uncompleted Studies,Bulgaria
405,35-44 years old,Secondary School,Albania
406,35-44 years old,Professional Degree,Italy
407,25-34 years old,Uncompleted Studies,Israel
408,18-24 years old,Bachelor’s Degree,India
409,35-44 years old,Professional Degree,Spain
410,55-64 years old,Professional Degree,France
411,45-54 years old,Professional Degree,USA
412,55-64 years old,Master’s Degree,Italy
413,25-34 years old,Bachelor’s Degree,USA
414,35-44 years old,Bachelor’s Degree,Romania
415,45-54 years old,Bachelor’s Degree,United Kingdom
416,35-44 years old,Master’s Degree,Greece
417,35-44 years old,Master’s Degree,Brazil
418,25-34 years old,Master’s Degree,Germany
419,35-44 years old,Bachelor’s Degree,Philippines
420,45-54 years old,Bachelor’s Degree,United Kingdom
421,35-44 years old,Master’s Degree,Portugal
422,25-34 years old,Bachelor’s Degree,United Kingdom
423,25-34 years old,Bachelor’s Degree,India
424,25-34 years old,Uncompleted Studies,Italy
425,55-64 years old,Master’s Degree,Germany
426,35-44 years old,Bachelor’s Degree,United Kingdom
427,18-24 years old,Bachelor’s Degree,Ukraine
428,25-34 years old,Uncompleted Studies,Ukraine
430,35-44 years old,Master’s Degree,Sweden
431,18-24 years old,Secondary School,USA
432,35-44 years old,Bachelor’s Degree,USA
433,35-44 years old,Secondary School,USA
434,35-44 years old,Master’s Degree,USA
435,25-34 years old,Master’s Degree,Switzerland
436,18-24 years old,Bachelor’s Degree,India
437,35-44 years old,Bachelor’s Degree,Italy
438,25-34 years old,Bachelor’s Degree,Italy
439,45-54 years old,Bachelor’s Degree,USA
440,Under 18 years old,Secondary School,India
441,55-64 years old,Bachelor’s Degree,USA
442,35-44 years old,Professional Degree,Turkey
443,35-44 years old,Master’s Degree,USA
444,35-44 years old,Bachelor’s Degree,United Kingdom
445,25-34 years old,Bachelor’s Degree,United Kingdom
446,18-24 years old,Secondary School,Russian Federation
447,25-34 years old,Master’s Degree,Germany
448,45-54 years old,Associate Degree,USA
449,Prefer not to say,Bachelor’s Degree,United Kingdom
450,25-34 years old,Master’s Degree,United Kingdom
451,25-34 years old,Master’s Degree,Azerbaijan
452,25-34 years old,Uncompleted Studies,South Africa
453,25-34 years old,Bachelor’s Degree,Chile
454,65 years or older,Master’s Degree,United Kingdom
455,35-44 years old,Uncompleted Studies,United Kingdom
456,25-34 years old,Bachelor’s Degree,France
458,35-44 years old,Bachelor’s Degree,Sweden
459,35-44 years old,Master’s Degree,Czech Republic
460,25-34 years old,Master’s Degree,France
461,18-24 years old,Bachelor’s Degree,Lebanon
463,55-64 years old,Bachelor’s Degree,USA
464,25-34 years old,Secondary School,United Kingdom
465,35-44 years old,Master’s Degree,Germany
466,45-54 years old,Uncompleted Studies,Italy
467,55-64 years old,Master’s Degree,United Kingdom
468,25-34 years old,Uncompleted Studies,Brazil
469,35-44 years old,Master’s Degree,Germany
470,45-54 years old,Bachelor’s Degree,USA
471,45-54 years old,Bachelor’s Degree,USA
472,18-24 years old,Secondary School,Bulgaria
473,25-34 years old,Master’s Degree,Iran
474,25-34 years old,Bachelor’s Degree,Mexico
475,35-44 years old,Bachelor’s Degree,Ghana
476,25-34 years old,Bachelor’s Degree,Netherlands
477,25-34 years old,Bachelor’s Degree,Italy
478,55-64 years old,Master’s Degree,USA
479,45-54 years old,Uncompleted Studies,Sweden
480,25-34 years old,Bachelor’s Degree,Brazil
481,25-34 years old,Bachelor’s Degree,Iran
482,18-24 years old,Secondary School,Canada
483,35-44 years old,Professional Degree,Germany
484,25-34 years old,Master’s Degree,Ukraine
485,18-24 years old,Primary School,Ukraine
486,25-34 years old,Associate Degree,USA
487,25-34 years old,Secondary School,Germany
488,25-34 years old,Bachelor’s Degree,France
489,35-44 years old,Master’s Degree,Russian Federation
490,25-34 years old,Bachelor’s Degree,Germany
491,45-54 years old,Secondary School,Italy
492,35-44 years old,Uncompleted Studies,France
493,35-44 years old,Bachelor’s Degree,Canada
494,45-54 years old,Bachelor’s Degree,Israel
495,45-54 years old,Bachelor’s Degree,USA
496,25-34 years old,Bachelor’s Degree,India
497,35-44 years old,Professional Degree,USA
498,25-34 years old,Bachelor’s Degree,Dominican Republic
499,55-64 years old,Bachelor’s Degree,USA
500,45-54 years old,Bachelor’s Degree,USA
501,35-44 years old,Bachelor’s Degree,Turkey
502,25-34 years old,Master’s Degree,Ukraine
503,35-44 years old,Bachelor’s Degree,Netherlands
504,25-34 years old,Associate Degree,Ukraine
505,18-24 years old,Master’s Degree,France
506,35-44 years old,Uncompleted Studies,Germany
507,45-54 years old,Secondary School,United Kingdom
508,25-34 years old,Master’s Degree,Algeria
509,45-54 years old,Bachelor’s Degree,United Kingdom
510,18-24 years old,Uncompleted Studies,United Kingdom
511,35-44 years old,Bachelor’s Degree,USA
512,35-44 years old,Bachelor’s Degree,Ireland
513,25-34 years old,Uncompleted Studies,Austria
514,25-34 years old,Professional Degree,Bulgaria
515,35-44 years old,Bachelor’s Degree,USA
516,25-34 years old,Bachelor’s Degree,USA
517,55-64 years old,Master’s Degree,Italy
518,25-34 years old,Uncompleted Studies,USA
519,18-24 years old,Bachelor’s Degree,Germany
520,25-34 years old,Master’s Degree,United Kingdom
521,55-64 years old,Bachelor’s Degree,Switzerland
522,45-54 years old,Uncompleted Studies,France
523,35-44 years old,Master’s Degree,USA
524,18-24 years old,Uncompleted Studies,Australia
525,65 years or older,Master’s Degree,Belgium
526,25-34 years old,Master’s Degree,Serbia
527,18-24 years old,Bachelor’s Degree,France
528,25-34 years old,Professional Degree,Peru
529,45-54 years old,Bachelor’s Degree,USA
531,35-44 years old,Master’s Degree,Germany
532,25-34 years old,Master’s Degree,Italy
533,25-34 years old,Uncompleted Studies,USA
534,45-54 years old,Master’s Degree,USA
535,35-44 years old,Bachelor’s Degree,Bolivia
536,25-34 years old,Uncompleted Studies,Turkey
537,35-44 years old,Master’s Degree,USA
538,25-34 years old,Other,Germany
539,45-54 years old,Secondary School,USA
540,18-24 years old,Secondary School,USA
541,25-34 years old,Master’s Degree,France
542,Under 18 years old,Primary School,Egypt
543,18-24 years old,Master’s Degree,Morocco
544,35-44 years old,Master’s Degree,USA
545,Under 18 years old,Associate Degree,USA
547,25-34 years old,Master’s Degree,India
548,18-24 years old,Bachelor’s Degree,India
549,25-34 years old,Master’s Degree,India
550,25-34 years old,Uncompleted Studies,USA
551,18-24 years old,Bachelor’s Degree,Serbia
552,35-44 years old,Bachelor’s Degree,Turkey
553,35-44 years old,Master’s Degree,Luxembourg
554,35-44 years old,Bachelor’s Degree,Georgia
555,35-44 years old,Bachelor’s Degree,USA
556,35-44 years old,Master’s Degree,Germany
557,25-34 years old,Bachelor’s Degree,Greece
558,25-34 years old,Bachelor’s Degree,Ukraine
559,25-34 years old,Other,United Kingdom
560,25-34 years old,Professional Degree,United Kingdom
561,25-34 years old,Bachelor’s Degree,USA
562,18-24 years old,Bachelor’s Degree,Ireland
563,Under 18 years old,Secondary School,United Kingdom
564,35-44 years old,Associate Degree,Germany
565,35-44 years old,Bachelor’s Degree,Saudi Arabia
566,35-44 years old,Associate Degree,USA
567,35-44 years old,Master’s Degree,USA
568,18-24 years old,Bachelor’s Degree,Ukraine
569,35-44 years old,Bachelor’s Degree,USA
570,25-34 years old,Bachelor’s Degree,Brazil
572,25-34 years old,Uncompleted Studies,Canada
573,55-64 years old,Bachelor’s Degree,USA
574,25-34 years old,Bachelor’s Degree,USA
575,18-24 years old,Secondary School,Brazil
576,35-44 years old,Master’s Degree,USA
577,35-44 years old,Bachelor’s Degree,Germany
578,35-44 years old,Bachelor’s Degree,Russian Federation
579,35-44 years old,Master’s Degree,United Kingdom
580,45-54 years old,Bachelor’s Degree,USA
581,35-44 years old,Bachelor’s Degree,Turkey
582,25-34 years old,Bachelor’s Degree,United Kingdom
583,45-54 years old,Professional Degree,USA
584,25-34 years old,Master’s Degree,Ukraine
585,35-44 years old,Bachelor’s Degree,Bangladesh
586,45-54 years old,Professional Degree,USA
587,25-34 years old,Master’s Degree,Ireland
588,65 years or older,Bachelor’s Degree,USA
589,18-24 years old,Other,USA
590,25-34 years old,Bachelor’s Degree,USA
591,35-44 years old,Master’s Degree,India
592,25-34 years old,Bachelor’s Degree,Germany
593,35-44 years old,Associate Degree,USA
594,35-44 years old,Master’s Degree,USA
596,25-34 years old,Master’s Degree,Ukraine
597,55-64 years old,Bachelor’s Degree,United Kingdom
598,18-24 years old,Bachelor’s Degree,India
599,18-24 years old,Bachelor’s Degree,Romania
600,45-54 years old,Professional Degree,USA
601,25-34 years old,Master’s Degree,Algeria
602,45-54 years old,Secondary School,Italy
603,18-24 years old,Master’s Degree,Ukraine
604,35-44 years old,Bachelor’s Degree,United Kingdom
605,55-64 years old,Secondary School,Italy
606,18-24 years old,Bachelor’s Degree,Montenegro
607,55-64 years old,Bachelor’s Degree,USA
608,25-34 years old,Bachelor’s Degree,Switzerland
609,25-34 years old,Secondary School,USA
610,18-24 years old,Bachelor’s Degree,Canada
611,25-34 years old,Master’s Degree,Spain
612,35-44 years old,Bachelor’s Degree,Netherlands
613,25-34 years old,Master’s Degree,Spain
614,18-24 years old,Bachelor’s Degree,India
615,18-24 years old,Secondary School,USA
616,25-34 years old,Master’s Degree,France
617,25-34 years old,Master’s Degree,Italy
618,25-34 years old,Master’s Degree,France
619,35-44 years old,Master’s Degree,United Kingdom
620,18-24 years old,Associate Degree,Italy
621,25-34 years old,Bachelor’s Degree,USA
622,65 years or older,Master’s Degree,USA
623,35-44 years old,Master’s Degree,Germany
624,35-44 years old,Uncompleted Studies,Sweden
625,25-34 years old,Bachelor’s Degree,USA
626,25-34 years old,Bachelor’s Degree,Germany
